,商铺名,所在楼层,关键字
128110,唯忆面馆,一层,餐厅;餐饮;饮食;快餐;美食;面馆;
128301,迪欧咖啡厅,一层,休闲;咖啡厅;甜品;
128302,豪邦休闲餐厅,一层,餐厅;餐饮;饮食;快餐;美食;休闲;,
128303,蘭琪咖啡厅,一层,休闲;咖啡厅;甜品;
128305,风雅老树餐厅,一层,餐厅;餐饮;饮食;美食;休闲;
128813,美乐家餐厅,一层,餐厅;餐饮;饮食;快餐;
128824,金龙美酒美食城,一层,餐厅;餐饮;饮食;快餐;美食;
129001,生利惠龙便利店,一层,购物;商品;商店;便利店;
129002,周黑鸭,一层,食品;零食;
129003,东南亚特产,一层,手信;特产;
129004,港澳食品,一层,购物;手信;特产;
129005,7-11便利店,一层,购物;商品;商店;便利店;
129006,好旺购物,一层,购物;商品;商店;便利店;
129007,东海堂,一层,甜品;零食;
129008,巧克力,一层,购物;零食;食品;
129009,周黑鸭,一层,食品;零食;
129101,皇上皇、趣香、致美斋专卖店,一层,手信;特产;购物;美食
129105,多乐坊玩具店,一层,玩具;购物;
129106,逸臣书屋,一层,书刊;书店;书籍;杂志;
129111,多乐坊玩具店,一层,玩具;购物;
129112,庆联手信,一层,手信;特产;购物;
129113,The Cocoa Trees,一层,甜品;零食;特产;
129115,礼记饼家,一层,购物;甜品;零食;手信;特产;食品;
129116,逸臣烟酒名店,一层,烟酒茶;
129117,莲香楼专卖店,一层,手信;特产;购物;
129118,宝山茶轩,一层,烟酒茶;休闲;茶馆;茶庄
129119,白云卷烟,一层,烟酒茶;
129120,广州酒家手信特产店,一层,手信;特产;购物;
129121,逸臣商场,一层,购物;商品;商场;商店;
129122,IPZONE互动地带,一层,服饰;服装;衣服
129123,Baleno:Attitude品牌店,一层,服饰;服装;衣服;
129125,来龙唐装品牌店,一层,服饰;服装;衣服
129126,荣澜品牌店,一层,服饰;服装;衣服
129128,生利惠龙便利店,一层,购物;商品;商店;便利店;
129129,HS海伦雪莉（箱包）品牌店,一层,手袋;箱包;皮具;
129130,手信食品,一层,手信;特产;购物;食品;
129135,东海堂,一层,甜品;零食;
129137,片仔癀专卖药店,一层,药店;化妆品;
129138,逸臣书屋,一层,书刊;书店;书籍;杂志;
129139,卡纷美容休闲阁,一层,美容;休闲;
129140,自然派食品店,一层,食品;零食;甜品;
129141,港城烟酒,一层,烟酒茶;
129142,班尼路品牌店,一层,服饰;服装;衣服
129143,万里马品牌店,一层,服饰;服装;衣服;鞋子;手袋;箱包;皮具;
129145,度邦丹尼品牌店,一层,服饰;服装;衣服;
129146,迪士尼时尚品牌店,一层,玩具;手袋;箱包;纪念品;
129148,翼蓝数码,一层,电子产品;数码;
129149,I Love fashion品牌店,一层,服饰;服装;鞋子;衣服;手袋;
129150,赛吉琥珀饰品店,一层,奢侈品;工艺品;首饰;配饰;珠宝;
129151,逸臣休闲餐厅,一层,餐厅;餐饮;饮食;休闲;
129152,晶雕细琢饰品店,一层,奢侈品;工艺品;首饰;配饰;珠宝;
129153,曼古银饰品店,一层,奢侈品;工艺品;首饰;配饰;珠宝;
129155,影享影院（餐饮）,一层,休闲;电影;影院;
129156,谭木匠专卖店,一层,奢侈品;工艺品;首饰;配饰;
129197,鲜榨果汁,一层,甜品;
129198,乐稻、饺子馆,一层,餐厅;餐饮;饮食;快餐;
129199,佳天隆,一层,烟酒茶;
129302,逸臣便利店,三层,购物;商品;商店;便利店;
129307,多乐坊玩具店,三层,玩具;购物;
129310,SAMSNITE,三层,手袋;箱包;皮具;
129312,BRAUN BUFFEL品牌店,三层,服饰;服装;鞋子;衣服;手袋;
129315,Folli Follie品牌店,三层,服饰;服装;衣服
129316,AMIERICAN品牌店,三层,服饰;服装;衣服;
129317,佛伦斯品牌店,三层,服饰;服装;衣服;
129319,瑞橡工艺品店,三层,奢侈品;工艺品;首饰;配饰;珠宝;纪念品;
129320,瑞红工艺品店,三层,奢侈品;工艺品;首饰;配饰;珠宝;纪念品;
129321,华祥苑茶叶店,三层,烟酒茶;休闲;茶馆;茶庄
129322,逸臣书屋,三层,书刊;书店;书籍;杂志;
129323,水果店,三层,水果;
129326,综合商店,三层,购物;商品;商场;商店;
129328,水果店,三层,水果;
129329,PULL&SHARK,三层,服饰;服装;衣服
129330,TUMI,三层,免税店;箱包;皮具;
129331,国酒茅台专卖,三层,烟酒茶;
129332,国际名酒中心专卖,三层,烟酒茶;
129333,Salvatore ferragamo品牌店,三层,服饰;服装;鞋子;衣服;手袋;
129336,SWAROSKI品牌店,三层,奢侈品;工艺品;首饰;配饰;珠宝;,
129337,BALLY品牌店,三层,服饰;服装;衣服;
129338,杰尼亚品牌店,三层,服饰;服装;衣服;
129340,DUNHILL品牌店,三层,服饰;服装;鞋子;衣服;手袋;皮具;
129342,EMPORIO ARMANI品牌店,三层,奢侈品;手表;眼镜;
129345,COACH,三层,奢侈品;服饰;服装;鞋子;衣服;手袋;
129346,上海滩,三层,服饰;服装;鞋子;衣服;手袋;箱包;皮具;
129348,DANIEL HECHTER,三层,服饰;服装;衣服;
129349,phiten法藤,三层,休闲;美容;
129350,SEAGULL海鸥,三层,手表;
129351,SWATCH手表店,三层,手表;
129352,AGATHA饰品店,三层,奢侈品;工艺品;首饰;配饰;珠宝;
10800310,麦当劳甜品站,,餐厅;餐饮;饮食;快餐;甜品;
10800810,康师傅,东连接楼一层,购物;
10800811,仙踪林,东连接楼一层,餐厅;餐饮;饮食;美食;甜品;
10900910,卡地亚、万宝龙品牌免税店,,奢侈品;手表;
10901910,欧舒丹品牌香化店,,化妆品;
10910310,生利惠龙工艺品,,奢侈品;工艺品;
10910311,生利惠龙工艺品,,奢侈品;工艺品;
11920110,BRAUM BUFFEL,西二指廊三层,服饰;服装;鞋子;衣服;手袋;
12930910,CANUDILO HOLIDAYS,,服饰;服装;衣服;
12930911,CHARRIOL,,奢侈品;手表;
12934710,CANUDILO,,服饰;服装;衣服;
12934711,潮宏基,,服饰;服装;衣服;
